feature,avg_mae
MFGE8,6.872233026067949
FAM209B,4.981979452887536
PRM1,4.556026526599487
C9orf40,4.440090597870845
IL6,3.849893063021242
IL4,3.849893063021242
IL5,3.849893063021242
PLGLB2,3.849893063021242
CENPM,3.849893063021242
MT2A,3.849893063021242
AKR1E2,3.849893063021242
NSF,3.849893063021242
M1AP,3.849893063021242
NUTM2F,3.849893063021242
POU3F3,3.849893063021242
POU3F1,3.849893063021242
FAM53A,3.849893063021242
IL7,3.849893063021242
CDH2,3.849893063021242
FAM171A2,3.849893063021242
C8orf74,3.849893063021242
RABEPK,3.849893063021242
PIFO,3.849893063021242
COCH,3.849893063021242
PROKR1,3.849893063021242
ADIRF,3.849893063021242
FAM162B,3.849893063021242
FAM162A,3.849893063021242
ABCA12,3.849893063021242
ABCA10,3.849893063021242
ERP27,3.849893063021242
UBXN8,3.849893063021242
RAMP3,3.849893063021242
ADGRG5,3.849893063021242
PHF21B,3.849893063021242
SLC7A5,3.849893063021242
ZWINT,3.849893063021242
SLC7A9,3.849893063021242
ZNF214,3.849893063021242
ZNF215,3.849893063021242
SCN3A,3.849893063021242
TLR8,3.849893063021242
TLR5,3.849893063021242
TLR1,3.849893063021242
MIF4GD,3.849893063021242
BRSK1,3.849893063021242
CARD9,3.849893063021242
PAGE2B,3.849893063021242
PSORS1C2,3.849893063021242
PSORS1C1,3.849893063021242
CGREF1,3.849893063021242
TSACC,3.849893063021242
NHLRC4,3.849893063021242
ZHX1-C8orf76,3.849893063021242
PI4K2B,3.849893063021242
EPO,3.849893063021242
PARL,3.849893063021242
PARS2,3.849893063021242
EPX,3.849893063021242
RNF212B,3.849893063021242
HOTS,3.849893063021242
SEMA7A,3.849893063021242
PRKCB,3.849893063021242
LOC100130357,3.849893063021242
FAM231A,3.849893063021242
SUN3,3.849893063021242
ANK1,3.849893063021242
DMBX1,3.849893063021242
RERG,3.849893063021242
LIMS3,3.849893063021242
HAPLN2,3.849893063021242
HAPLN3,3.849893063021242
CDK8,3.849893063021242
CDK5,3.849893063021242
CDK3,3.849893063021242
CDK1,3.849893063021242
RGN,3.849893063021242
GOLT1B,3.849893063021242
WDR31,3.849893063021242
HAP1,3.849893063021242
CCZ1,3.849893063021242
ENY2,3.849893063021242
S1PR4,3.849893063021242
TMEM200C,3.849893063021242
TMEM200A,3.849893063021242
S1PR1,3.849893063021242
INS-IGF2,3.849893063021242
STXBP6,3.849893063021242
STXBP2,3.849893063021242
STXBP3,3.849893063021242
DEPDC4,3.849893063021242
GOLT1A,3.849893063021242
PDZK1IP1,3.849893063021242
OR9A4,3.849893063021242
RGR,3.849893063021242
PRRX2,3.849893063021242
PRRX1,3.849893063021242
SYP,3.849893063021242
OR9A2,3.849893063021242
IQCJ-SCHIP1,3.849893063021242
KCNAB3,3.849893063021242
KCNAB1,3.849893063021242
FAM25G,3.849893063021242
FAM25A,3.849893063021242
ZNF572,3.849893063021242
ZNF571,3.849893063021242
HIST1H3B,3.849893063021242
CCDC91,3.849893063021242
CCDC96,3.849893063021242
PPIL3,3.849893063021242
PPIL1,3.849893063021242
ACKR3,3.849893063021242
ACKR2,3.849893063021242
ACKR1,3.849893063021242
ACKR4,3.849893063021242
SEC11C,3.849893063021242
HIST1H3I,3.849893063021242
RBM14-RBM4,3.849893063021242
HIST1H3J,3.849893063021242
HIST1H3E,3.849893063021242
PRKCZ,3.849893063021242
HIST1H3C,3.849893063021242
ZNF570,3.849893063021242
PDE1B,3.849893063021242
PDE1C,3.849893063021242
PGC,3.849893063021242
AP1S2,3.849893063021242
GREB1L,3.849893063021242
FITM1,3.849893063021242
FITM2,3.849893063021242
NAA35,3.849893063021242
NAA38,3.849893063021242
LEF1,3.849893063021242
ROM1,3.849893063021242
SYCP3,3.849893063021242
SLCO4A1,3.849893063021242
RSPH14,3.849893063021242
PAOX,3.849893063021242
HMBS,3.849893063021242
PIK3AP1,3.849893063021242
LMF1,3.849893063021242
MYH13,3.849893063021242
MYH11,3.849893063021242
EPDR1,3.849893063021242
GZMK,3.849893063021242
GZMH,3.849893063021242
GZMM,3.849893063021242
GZMB,3.849893063021242
GZMA,3.849893063021242
PSCA,3.849893063021242
SAMD13,3.849893063021242
B3GLCT,3.849893063021242
MALT1,3.849893063021242
EID3,3.849893063021242
EID2,3.849893063021242
SFN,3.849893063021242
C10orf128,3.849893063021242
GH1,3.849893063021242
C10orf126,3.849893063021242
PAFAH1B3,3.849893063021242
APCDD1L,3.849893063021242
CGNL1,3.849893063021242
PEX11B,3.849893063021242
PEX11A,3.849893063021242
PXT1,3.849893063021242
VTCN1,3.849893063021242
MIA,3.849893063021242
PDE1A,3.849893063021242
FUT3,3.849893063021242
FUT5,3.849893063021242
FUT7,3.849893063021242
ZNF502,3.849893063021242
SLC45A3,3.849893063021242
BMI1,3.849893063021242
NDUFC1,3.849893063021242
ASIP,3.849893063021242
POTEE,3.849893063021242
POTEF,3.849893063021242
POTEG,3.849893063021242
POTEJ,3.849893063021242
PGR,3.849893063021242
POTEM,3.849893063021242
GHR,3.849893063021242
ZCCHC12,3.849893063021242
DUS4L,3.849893063021242
BHLHA9,3.849893063021242
IL27RA,3.849893063021242
NR2E3,3.849893063021242
ADGRF5,3.849893063021242
ANLN,3.849893063021242
ADGRF1,3.849893063021242
CMPK2,3.849893063021242
AWAT2,3.849893063021242
AWAT1,3.849893063021242
LOC101927572,3.849893063021242
DGUOK,3.849893063021242
FADS6,3.849893063021242
TRPT1,3.849893063021242
FADS3,3.849893063021242
FADS1,3.849893063021242
PAQR6,3.849893063021242
PAQR4,3.849893063021242
PAQR5,3.849893063021242
PAQR3,3.849893063021242
GABPB1,3.849893063021242
NIFK,3.849893063021242
C6orf163,3.849893063021242
RAB8B,3.849893063021242
ECI1,3.849893063021242
ECI2,3.849893063021242
NETO2,3.849893063021242
TFEC,3.849893063021242
FADS2,3.849893063021242
MST1,3.849893063021242
LCTL,3.849893063021242
MYBPH,3.849893063021242
CYP11A1,3.849893063021242
TDO2,3.849893063021242
TPK1,3.849893063021242
USP17L8,3.849893063021242
USP17L4,3.849893063021242
USP17L7,3.849893063021242
USP17L2,3.849893063021242
FBXW12,3.849893063021242
ZNF771,3.849893063021242
ZNF775,3.849893063021242
ZNF774,3.849893063021242
JPH2,3.849893063021242
CEP76,3.849893063021242
LST1,3.849893063021242
FTH1P18,3.849893063021242
COL23A1,3.849893063021242
PIK3C2G,3.849893063021242
PAPPA,3.849893063021242
SLITRK2,3.849893063021242
ZCCHC18,3.849893063021242
SLITRK6,3.849893063021242
HBQ1,3.849893063021242
AMZ1,3.849893063021242
JPH4,3.849893063021242
JPH1,3.849893063021242
POGLUT1,3.849893063021242
CEP70,3.849893063021242
CATSPER3,3.849893063021242
CATSPER2,3.849893063021242
NAP1L3,3.849893063021242
NAP1L2,3.849893063021242
LDHAL6A,3.849893063021242
ECM1,3.849893063021242
ECM2,3.849893063021242
LDHAL6B,3.849893063021242
BAGE,3.849893063021242
FXYD6-FXYD2,3.849893063021242
MYL12A,3.849893063021242
SLPI,3.849893063021242
RAP1GAP2,3.849893063021242
ZNF385D,3.849893063021242
DEPDC7,3.849893063021242
ZNF385B,3.849893063021242
ZNF385C,3.849893063021242
CD79A,3.849893063021242
MEOX2,3.849893063021242
MEOX1,3.849893063021242
CD79B,3.849893063021242
RTKN,3.849893063021242
KMO,3.849893063021242
BAG2,3.849893063021242
B4GAT1,3.849893063021242
ALDH8A1,3.849893063021242
MRPL1,3.849893063021242
HEMGN,3.849893063021242
ANXA13,3.849893063021242
CBLN3,3.849893063021242
VASH2,3.849893063021242
C5orf60,3.849893063021242
C5orf67,3.849893063021242
USHBP1,3.849893063021242
HOXC6,3.849893063021242
HOXC4,3.849893063021242
HOXC5,3.849893063021242
BCL2L2-PABPN1,3.849893063021242
HOXC8,3.849893063021242
HOXC9,3.849893063021242
UQCC2,3.849893063021242
AKAP12,3.849893063021242
GRB7,3.849893063021242
ULBP2,3.849893063021242
IL1RAP,3.849893063021242
NR1I2,3.849893063021242
NR1I3,3.849893063021242
ABHD5,3.849893063021242
ABHD6,3.849893063021242
ABHD1,3.849893063021242
ABHD3,3.849893063021242
ADAM21,3.849893063021242
TRHDE,3.849893063021242
PTP4A1,3.849893063021242
FAM178B,3.849893063021242
KANK3,3.849893063021242
KANK4,3.849893063021242
CATSPERB,3.849893063021242
SERTAD4,3.849893063021242
LMO7DN,3.849893063021242
TRIM69,3.849893063021242
FCGR2A,3.849893063021242
FCGR2C,3.849893063021242
FCGR2B,3.849893063021242
XAGE1E,3.849893063021242
XAGE1B,3.849893063021242
OSTN,3.849893063021242
GOLGA6L3,3.849893063021242
GOLGA6L1,3.849893063021242
PACRGL,3.849893063021242
GOLGA6L4,3.849893063021242
GOLGA6L9,3.849893063021242
SYCN,3.849893063021242
FYB,3.849893063021242
ANXA10,3.849893063021242
SH3PXD2B,3.849893063021242
SMNDC1,3.849893063021242
PLPP7,3.849893063021242
PLPP2,3.849893063021242
PLPP1,3.849893063021242
C22orf34,3.849893063021242
CA7,3.849893063021242
C22orf31,3.849893063021242
MCTP2,3.849893063021242
MCTP1,3.849893063021242
PDGFRL,3.849893063021242
RGS19,3.849893063021242
GAS2,3.849893063021242
CALML5,3.849893063021242
AGRP,3.849893063021242
GSAP,3.849893063021242
ARHGAP9,3.849893063021242
ARHGAP8,3.849893063021242
DTD1,3.849893063021242
REP15,3.849893063021242
DNAJC25,3.849893063021242
DNAJC28,3.849893063021242
EDARADD,3.849893063021242
IHH,3.849893063021242
FCER2,3.849893063021242
TRIM23,3.849893063021242
TRIM29,3.849893063021242
ACSM6,3.849893063021242
NDC1,3.849893063021242
PSAPL1,3.849893063021242
ACSM5,3.849893063021242
ACSM3,3.849893063021242
GPAM,3.849893063021242
OR51B2,3.849893063021242
OR51B6,3.849893063021242
OR51B4,3.849893063021242
OR51B5,3.849893063021242
TRIM60,3.849893063021242
CKM,3.849893063021242
CKB,3.849893063021242
CALCB,3.849893063021242
CALCA,3.849893063021242
AGR3,3.849893063021242
AGR2,3.849893063021242
ACSM4,3.849893063021242
TMEM55A,3.849893063021242
PRR15L,3.849893063021242
SH2D3A,3.849893063021242
WDR83,3.849893063021242
OR1N1,3.849893063021242
OR1N2,3.849893063021242
UGT2B28,3.849893063021242
MME,3.849893063021242
NPNT,3.849893063021242
TBCA,3.849893063021242
AK8,3.849893063021242
ACPT,3.849893063021242
SLC27A2,3.849893063021242
PRAM1,3.849893063021242
POLR2G,3.849893063021242
DEPTOR,3.849893063021242
SLC27A5,3.849893063021242
AMPH,3.849893063021242
LOC441155,3.849893063021242
NT5C3A,3.849893063021242
TMEM18,3.849893063021242
PRAME,3.849893063021242
SPCS1,3.849893063021242
ANKRD39,3.849893063021242
ANKRD33,3.849893063021242
ANKRD37,3.849893063021242
ANKRD35,3.849893063021242
CCT8L2,3.849893063021242
GLA,3.849893063021242
SLC27A6,3.849893063021242
HSPB6,3.849893063021242
