feature,avg_mae
CYTIP,2.1376903722487506
C8orf44-SGK3,0.5962226960623073
C7,0.5633752756091064
ACPT,0.4739290457202523
TACR2,0.42902757936203634
SLC6A13,0.4185992321720601
MFGE8,0.3956691737976237
KLHL10,0.3880115978641956
ZNF879,0.3479211914398351
GPAT2,0.28032155968802686
UCHL3,0.2648955285975991
PRM1,0.19804028520151762
DNAH14,0.18992387503606703
DUSP11,0.1767776901494057
CA1,0.14420847613419652
RIMBP3B,0.13425626325110027
MAGEH1,0.1340206012637306
C8orf34,0.13399560660000243
FA2H,0.13281907522119676
ZSCAN23,0.12811688305253335
CDKN2C,0.12799975905526012
EBF4,0.11952593050529826
GPR37,0.11872642814513043
RMDN2,0.11808672391524015
NPIPB15,0.11642796780980624
EBF3,0.11449002758046105
EFCAB6,0.11062179948670164
CSTA,0.10793408782363417
SFTPB,0.10585056479423756
KPTN,0.10181936609176745
FOXP3,0.09727896943442435
C9orf40,0.09655033367511746
MIA2,0.09632813893170007
DACT3,0.09413121036953372
TCTE3,0.09348828725802802
DUSP1,0.0897832059356381
MED21,0.08905179607218415
RPP40,0.08140219122611189
TUSC2,0.07548620091942387
ZDHHC11,0.07471280896905204
COA6,0.0743297792624738
PSMB9,0.0739496326238361
SPTBN5,0.07013569411692816
ICAM3,0.06994674282036212
NCF1,0.06958153638698131
GALR1,0.06708717181870073
COMP,0.06644281643255147
LILRB1,0.06628058199754702
DRC3,0.06504401976586227
HAUS1,0.06251577584145983
TBC1D3B,0.06211626725944929
RAD54B,0.06204192530203897
TNFRSF11B,0.06165969948958582
PTGER3,0.06146830167986608
FAM177B,0.06065402096897413
TNFRSF8,0.058098644946095616
USP17L22,0.055850551269740915
RTCB,0.055175906825108895
ASB10,0.054169763395536315
LGI4,0.05296923383594268
UQCR11,0.05153467613568882
TFF3,0.05152960417869251
CETN3,0.04964610436808666
KIF21B,0.0493260199347638
FANCI,0.047710579304722785
RNASE4,0.046908408016322733
