feature,avg_mae
DLX3,5.58620398467433
C6orf52,5.581529272030649
DLX2,5.581170191570879
RNASE4,5.580395938697316
FAM231B,5.576653409961686
C2CD4C,5.5761555555555535
BCL6_hotspot_mutation_count,5.576080383141764
C2orf72,5.574752030651338
KLHL13,5.5745611494252865
RNASE2,5.573502068965516
RAB3A,5.5730510344827575
MFAP4,5.572987049808429
OCLM,5.572922758620688
KCNIP3,5.5726120306513405
CYSLTR1,5.5724210727969306
LCN2,5.572114482758624
CD40LG,5.572040766283527
KRTCAP2,5.571870114942528
UBE2N,5.571483754789272
MYOG,5.57142137931034
NCAM1,5.571234252873563
WDR86,5.571030268199232
AQP3,5.570991724137932
ZNF345,5.570940766283524
FAM47A,5.570841915708815
AWAT2,5.570834559386974
HLA-DQB1,5.570558314176246
RPL21,5.570260842911879
CARD19,5.570176704980839
WNT5B,5.570141072796933
OR51B2,5.570081149425286
ETS2,5.570057547892719
CTH,5.57004084291188
LOC728485,5.570031264367815
C22orf34,5.570023754789271
WNT9B,5.570006896551728
TTLL10,5.5699547126436775
PIP5K1B,5.569916934865903
GTSE1,5.569824674329502
PROL1,5.569801072796934
GPR171,5.569767432950191
C20orf202,5.569738160919539
MUC21,5.569725593869731
DTNB,5.569678084291187
P2RY13,5.569630421455937
BCAT1,5.569454942528738
TCEAL8,5.5694353256705
IL37,5.569419616858238
DTL,5.569391111111111
ZNF534,5.569388812260536
PACSIN1,5.569263908045979
FAM101A,5.569259386973179
NAALADL1,5.569096704980842
HOXD11,5.569088965517241
ZNF879,5.568967586206899
GPHA2,5.568947816091951
RGS9,5.568925363984675
LHX6,5.568915095785441
SRI,5.568909348659
45540,5.568907126436781
OR2D2,5.568898314176243
KLRC4,5.568870344827588
KCTD8,5.568864367816089
GTSF1L,5.568819770114942
MSI1,5.5688166283524865
GPR162,5.568777701149429
DDX60L,5.568750114942531
GOLGA6B,5.568727126436779
SYNM,5.568708045977015
ARRDC5,5.5686623754789295
RANBP17,5.568585363984673
LAMC2,5.568582375478931
OSTC,5.568529348659008
VN1R5,5.5684739463601565
KRTAP5-8,5.568453716475098
ANKS1B,5.568437854406126
NAT1,5.568409655172416
TMEM191C,5.568374099616859
IFNG,5.568360613026816
TMEM206,5.568333180076628
KRTAP10-12,5.568324750957856
ABCA10,5.568256704980845
ST6GALNAC3,5.568253026819922
AREG,5.568250498084291
NGF,5.568148505747125
CDH15,5.568120306513412
COL7A1,5.568060536398466
NOTUM,5.568052337164745
FST,5.5680274329501875
APOBEC3G,5.56802091954023
MSH4,5.568007126436783
C3orf52,5.567984980842912
ASPDH,5.567975555555558
HPX,5.567954022988501
FAM212A,5.567895862068967
HTR3B,5.567879157088122
KRT6A,5.5678185440613
KCNK4,5.567802681992334
SULT1A2,5.56780122605364
C16orf91,5.567795019157088
ATP8A2,5.567791417624521
PSAT1,5.567749042145595
LGR6,5.567740306513412
RAB27B,5.5677161685823755
BTN1A1,5.567659233716472
CKMT1B,5.567657088122604
OR2AG2,5.567614482758623
OR2F1,5.5676035249042135
KRT17,5.567556168582378
PILRB,5.567552567049811
TAS2R39,5.567529348659
BBS10,5.567529118773948
CEP57L1,5.567512796934867
SPATA1,5.567503831417621
TBC1D3F,5.567501455938699
LCT,5.567500996168581
TIMM17A,5.567486590038313
HIST1H1D,5.567466819923371
LY9,5.567440689655169
CCL4L2,5.567426666666664
C21orf140,5.5674217624521045
CPA3,5.567403831417621
GATA5,5.567403831417621
PFKFB3,5.567403831417621
FAM19A3,5.567392720306516
NPIPA5,5.567385363984673
SFTPD,5.567379310344828
PRSS27,5.567375632183906
CASS4,5.567296551724138
ASCL3,5.567291877394635
SCGB1C2,5.56727417624521
IL32,5.567240459770112
CNKSR3,5.567229118773943
PNLIPRP3,5.567229118773943
SLC5A1,5.567206130268196
RSG1,5.567190114942531
LONRF2,5.567158467432952
C1QTNF9B,5.567155172413795
CDC42BPG,5.567139693486586
FAM157B,5.567126743295019
HIST2H4B,5.5671194636015295
NOXRED1,5.5671194636015295
REEP6,5.567087586206899
OCIAD2,5.566999463601531
GAGE10,5.566976245210725
CLEC18C,5.566973716475099
LRRN1,5.566963984674328
PRSS22,5.566948812260535
SAA2-SAA4,5.566934406130269
FSD1,5.5669316475095805
TREX2,5.566909272030647
FAM114A2,5.566893486590036
CSPG5,5.566887279693487
GPR45,5.5668695019157095
CYP2E1,5.566850881226052
KDELR3,5.566849348659004
PRTFDC1,5.566836551724136
BNIP3L,5.566825210727966
ZNF564,5.566821762452107
ZNF654,5.566818084291189
HBP1,5.56677762452107
SULT1A3,5.566743984674332
ACTRT3,5.566730421455941
REG3A,5.566704980842908
FAM103A1,5.5666945593869706
ABHD3,5.566693486590039
EPHB3,5.566691724137929
IGF2BP3,5.5666846743295
ATP5J,5.566680153256701
PRSS16,5.566628199233719
COPG2,5.566577164750958
CA12,5.566575862068963
KIRREL3,5.56657570881226
FOXD4L4,5.566569042145594
CCL19,5.566560689655172
MYPN,5.566530268199229
KLK14,5.566526206896549
CDKN2C,5.566497088122602
SYNDIG1L,5.566468659003831
SELT,5.566451187739463
ITGA2B,5.566423448275861
PAX9,5.5664220689655135
ATOH7,5.566414636015325
C9orf47,5.566410038314173
FILIP1L,5.566400459770113
P2RX1,5.566397318007665
PCDHAC1,5.566382375478927
CEP70,5.5663573946360145
STMND1,5.566301685823756
PPP5D1,5.566301379310346
PCDHB6,5.566298544061299
LIPT2,5.566293793103444
CCDC64,5.566271264367811
MSMB,5.566259616858238
TPPP2,5.566239310344826
C7orf61,5.566235402298848
LAD1,5.5662261302682
KCNQ5,5.56621877394636
ZC3HC1,5.5662141762452135
C1QTNF2,5.5661010727969344
LYPD2,5.566079616858235
TRAF4,5.56606750957854
RAI14,5.5660645210727955
MRPL51,5.5660576245210684
GPR37,5.566023831417624
ADORA2A,5.566021302681992
COA3,5.566019616858236
FAM13C,5.565943295019155
NKX3-1,5.565936168582373
NDC80,5.5659272796934856
MNS1,5.565914789272032
RNF212B,5.565908965517243
MYD88,5.565891570881227
SPINK9,5.565889272030651
SPRR1A,5.565887739463599
PPM1N,5.565873256704981
CENPQ,5.565860383141763
C17orf47,5.565856628352492
CST6,5.565856551724135
FAM175A,5.5658491954023
USH1C,5.565830268199236
SLC22A1,5.565829118773943
PPARGC1A,5.565810268199238
IPO11,5.565800842911875
KRTAP3-2,5.565791417624522
PSG11,5.565777854406125
WNK2,5.5657569348659015
TADA2A,5.565746590038312
CCL8,5.565739770114944
LY6G5C,5.565712796934868
TTC22,5.565707969348654
KRTAP1-5,5.565707279693488
S100A1,5.5657053639846765
OR1D5,5.565704061302679
HSD17B8,5.565700153256703
SSTR2,5.565686283524909
LINGO4,5.565686130268202
NOXO1,5.565639693486588
UROC1,5.565636934865897
RLN3,5.565620613026822
C20orf96,5.565609578544061
STON1-GTF2A1L,5.565603448275863
CASC1,5.565591954022988
NDUFAF6,5.565584521072796
CHURC1-FNTB,5.56557019157088
TMEM82,5.565558927203064
LILRB5,5.565544980842912
CDK5,5.565513333333332
IL1RL1,5.565508275862069
FMO4,5.565504597701149
ECM1,5.565490191570879
NPIPB15,5.565484137931036
CA9,5.565467892720303
TIMM10,5.565457777777773
FOXS1,5.565405210727972
FABP5,5.56540245210728
OR2M7,5.565399846743297
GABRG3,5.565392567049806
UCHL3,5.565381302681992
MYH11,5.565380459770113
TNFRSF12A,5.565352950191571
TMEM108,5.565332796934863
UBE2W,5.565325134099616
SMIM8,5.565323371647506
MRGPRE,5.565290727969345
GTF3C6,5.565279233716474
NAT8,5.565277854406126
CYP4F8,5.565256168582375
FAM86B1,5.56523394636015
ASPH,5.565225517241378
PROS1,5.565202452107279
UQCRH,5.5651650574712646
MCEMP1,5.56516252873563
C1orf189,5.565159463601528
LYAR,5.5651315708812215
HRH2,5.56512291187739
THPO,5.565096934865899
GTDC1,5.565092796934868
SPTSSA,5.565083141762452
SLC4A1,5.565079923371643
LYPD3,5.565076398467433
GLYAT,5.565058697318007
ASMT,5.565047509578539
PRF1,5.565033026819921
WDR83,5.565016858237548
CGB8,5.565014329501917
TMEM81,5.56501049808429
NUDT7,5.565007279693483
FLG,5.565000383141763
CTAGE6,5.564998314176243
FAM151B,5.564996245210726
TEX11,5.564981379310343
C17orf97,5.564972873563216
SPATC1,5.5649500383141755
OGDHL,5.564945057471262
MRPL14,5.564927662835252
HIST1H4H,5.5649194636015356
NGFR,5.564918620689652
DDX43,5.564910498084297
ADCYAP1R1,5.5649016091954016
PRR34,5.5648845977011465
NHLRC4,5.564883371647506
GPT,5.564876704980842
TRIAP1,5.5648720306513395
ZNF888,5.564817164750958
NUDT13,5.564805823754789
GRASP,5.564790651340993
CA14,5.564770038314176
FCGR2C,5.564752107279694
TEKT5,5.564751800766283
LTF,5.5647517241379285
KCNV2,5.564737624521073
SEMA5B,5.564671187739465
AJUBA,5.5646228352490406
LYPD5,5.564587739463597
GEMIN7,5.5645872030651375
GREM1,5.564554789272031
DPF3,5.564553639846744
EIF3M,5.5645092720306515
IQGAP3,5.564486360153254
GABRR2,5.564485210727969
ENKUR,5.564484367816093
WISP2,5.564442681992333
MLLT11,5.564428888888889
VMO1,5.564428045977011
ADGRG6,5.564418160919535
FCHO1,5.5643862068965495
SPDYC,5.56437969348659
TLR8,5.56437578544061
CA6,5.564363448275865
SAAL1,5.564347356321835
LTA,5.564332873563217
KCNC2,5.564324061302681
FIBCD1,5.564283678160921
WDFY4,5.564272567049804
FCN2,5.564265287356318
TDO2,5.564261762452108
GTF2A2,5.564259003831413
FAM111B,5.5642108045977
NDUFAB1,5.564204827586204
ADSSL1,5.564191340996167
C1QTNF1,5.564187969348659
AURKC,5.56418651340996
LRR1,5.564184827586205
EN1,5.564173026819924
GLUD2,5.564161762452106
TXNDC16,5.564147509578543
CCDC7,5.564141455938698
CFAP45,5.56412153256705
E2F5,5.5640907279693534
KCNK3,5.564087892720303
SMCO1,5.564081762452104
NIFK,5.564075172413794
NR1I2,5.564056475095785
FAM206A,5.564046053639848
FCRLA,5.564031570881225
TRIM73,5.56401938697318
NMNAT3,5.563980919540225
ITM2A,5.563978084291188
C10orf131,5.563959310344826
ICAM5,5.563952183908044
CCDC169,5.563950038314174
MNX1,5.563945440613029
RHBDL3,5.56394314176245
KHK,5.5639379310344825
C1orf101,5.563937088122605
OBP2A,5.5639296551724104
CEPT1,5.563910881226052
RARRES1,5.563909578544057
KCNS3,5.563906590038313
SDHB,5.563901915708814
HGF,5.563898544061301
C8orf46,5.563885747126435
GPRIN1,5.563872567049804
CSRNP3,5.563867969348665
ST20,5.563846130268198
MRPL40,5.563844597701151
DUOXA2,5.563828199233717
LAMA1,5.563815555555551
CDKN2D,5.563807892720309
PQLC3,5.563796015325671
HES6,5.563778467432953
ANK2,5.563765823754787
C1orf127,5.563761839080459
ZNF296,5.563757471264366
TMPRSS2,5.563729885057468
CCDC157,5.563709272030653
IRX5,5.563670038314177
SLC26A7,5.563643065134102
COL3A1,5.563627509578542
GRHL1,5.563620613026817
WDR88,5.563594789272032
BLNK,5.563590344827586
CCT8,5.563567279693486
FFAR4,5.563557241379315
OXCT2,5.563556091954021
GRID2IP,5.563554789272032
SDR16C5,5.563543141762449
IQCH,5.5635262835249035
PMP2,5.563521685823753
ARMC12,5.5634908045976985
HINT1,5.563483754789271
PALM3,5.563480766283524
FAM153B,5.563473639846743
CBWD3,5.563450727969347
ARL5C,5.5634462068965504
MATN4,5.563438314176244
ZNF799,5.563422911877397
GPR143,5.563419233716471
IL12A,5.5633944827586195
BARHL1,5.563354406130266
GREB1L,5.563336704980844
OR1J4,5.563335708812257
CHADL,5.5633216091954
CCDC188,5.5633150957854385
WFDC1,5.563314252873557
FXYD2,5.563305823754785
ECM2,5.56328835249042
HBQ1,5.563284980842914
MROH8,5.563272107279695
TBC1D29,5.563265823754789
OR2L3,5.563255249042145
CRNDE,5.563250038314173
BZW1,5.56321486590038
STAB2,5.563192490421455
HEPHL1,5.563191570881229
OSGEPL1,5.56318704980843
MS4A1,5.563176168582374
GPR142,5.563150268199232
ARL9,5.56314888888889
HYKK,5.5631383141762445
FGF14,5.563134176245211
SLAIN1,5.563126360153255
KLRC4-KLRK1,5.563083831417624
TAS2R43,5.563074559386971
VPS25,5.563073946360152
LILRB2,5.563053409961684
UCN3,5.563048888888893
CD22,5.5630428352490435
SRD5A1,5.563042375478927
TMEM187,5.563041685823756
DBNDD2,5.563040919540233
CYP2C9,5.5630390038314195
SLC22A25,5.563029655172412
LRRC4B,5.56298153256705
KRTAP5-2,5.562976475095784
ADD2,5.562970268199236
TMEM252,5.562968199233715
KY,5.562958697318004
CTSL,5.5629580842911865
POLE_hotspot_mutation_count,5.56295555555556
CAPS2,5.56295540229885
COPS4,5.562950498084294
LRRC1,5.5629452107279675
S100A4,5.562936245210726
CD83,5.5629301915708815
DPEP2,5.562889042145596
C12orf54,5.562870114942528
MCOLN2,5.562854789272032
PDZK1IP1,5.562852643678163
PRSS45,5.56285195402299
LYG2,5.562850651340995
NTHL1,5.562849501915711
FCRL1,5.56284827586207
RPL36A-HNRNPH2,5.562832337164747
COPS3,5.562829348659001
PALM,5.5628290421455935
CEP295NL,5.56282704980843
LHCGR,5.562812796934866
CSN3,5.562780996168585
TAGAP,5.5627626819923375
FRG2B,5.562756321839081
VPS29,5.562735325670501
XKR6,5.5626896551724165
BHLHE22,5.562689272030651
GATA4,5.562687509578541
TTC16,5.562659923371642
KCNC3,5.562645287356324
ALOX5,5.562624674329503
SRMS,5.562620229885057
C9orf152,5.562611187739464
VNN3,5.562610727969348
