feature,avg_mae
ERBB4_hotspot_mutation_count,0.43687485189864533
KEAP1_hotspot_mutation_count,0.41728322283475205
COA6,0.40118010911457896
SMAD4_hotspot_mutation_count,0.40056986977600917
PPP2R1A_hotspot_mutation_count,0.3997710819381328
FDXR,0.3992080074083198
IL7R_hotspot_mutation_count,0.3987481405233322
PIK3CA_hotspot_mutation_count,0.39872715891516863
SPOP_hotspot_mutation_count,0.3979496356848998
LOC100130370,0.3964704562250288
TULP1,0.3957664259124743
HSFX1,0.39474205768667
BCL2L14,0.39441151547971187
KRTAP19-7,0.3941082602901668
NPL,0.3939941946146635
PTPRT_hotspot_mutation_count,0.3935790518767891
ERBB2_hotspot_mutation_count,0.39274720305794647
CCL21,0.3924471506331793
ARHGEF15,0.3923861646402851
COX6A2,0.3916785763183131
C3orf14,0.3915938190288817
NF2_hotspot_mutation_count,0.3908460323425511
DLGAP3,0.39045300097203006
PIK3R1_hotspot_mutation_count,0.39037843565960345
TBC1D3I,0.3893215325534993
ASXL1_hotspot_mutation_count,0.38900852358686855
XPO1_hotspot_mutation_count,0.38884203932201217
PGM5,0.38830933137872947
IL34,0.38822127892208813
LOC100129924,0.3877862860924234
MROH6,0.38762243523801265
ABL1_hotspot_mutation_count,0.38762002531226125
CCL19,0.3875981241145612
CAPN13,0.38731049365732256
RUFY4,0.38726421551577195
SLC26A8,0.3872370302995656
TBC1D3E,0.38715641324514927
HAO2,0.38676383670268316
IL5,0.3865249275996179
TMEM217,0.386434853401647
FGFR2_hotspot_mutation_count,0.38606200459554785
CLEC18B,0.38605629450815065
RNASE8,0.38592105649523956
PLCG1_hotspot_mutation_count,0.3857658945899285
PRRT4,0.38569254456733504
CLIC2,0.38544165406164177
MINPP1,0.3848784531912951
KRAS_hotspot_mutation_count,0.3847924595876427
GREM1,0.38465931356520044
HIST1H3A,0.38459431818609424
KRTAP4-2,0.3845186844907607
NCOR1_hotspot_mutation_count,0.38439467754594375
OLIG1,0.3843480071422119
XRCC4,0.3841030535129623
C2orf72,0.3840658455293292
APC_hotspot_mutation_count,0.38396664657733
KRTAP2-3,0.3839027585301967
ZNF367,0.383877432861426
WDR53,0.3837891428997032
LAMP5,0.3837227278777104
GCH1,0.38359746163776753
KTI12,0.3835355890132847
CST6,0.3835330279423273
CHN2,0.3835300121783042
DDX43,0.3833598936247927
NEXN,0.3832271207787074
KCNK17,0.383193640742419
PAOX,0.3829990620357566
KRTAP2-4,0.3829635881439104
TOMM5,0.38289445591433496
DUS4L,0.38289182199187854
