feature,avg_mae
ERBB4_hotspot_mutation_count,5.696227528939083
SMAD4_hotspot_mutation_count,5.615453770552009
BCL6_hotspot_mutation_count,5.600716905254496
MED12_hotspot_mutation_count,5.572991932157317
DNMT3A_hotspot_mutation_count,5.567738475362844
SF3B1_hotspot_mutation_count,5.566989916597562
FAT1_hotspot_mutation_count,5.558487829437256
KRAS_hotspot_mutation_count,5.552850467760809
H3F3A_hotspot_mutation_count,5.551119976290998
PIK3CA_hotspot_mutation_count,5.539897578761659
RNF43_hotspot_mutation_count,5.539571577479921
SMAD2_hotspot_mutation_count,5.538400019410232
BRAF_hotspot_mutation_count,5.53636668093977
NCOR1_hotspot_mutation_count,5.535266256229795
PTPN13_hotspot_mutation_count,5.532515265976478
FAT4_hotspot_mutation_count,5.530025807384622
XPO1_hotspot_mutation_count,5.529663573566305
PTPRT_hotspot_mutation_count,5.528649918560159
ARID1A_hotspot_mutation_count,5.528550127416151
PPP2R1A_hotspot_mutation_count,5.527668557681378
ERBB2_hotspot_mutation_count,5.527660266802559
GNA11_hotspot_mutation_count,5.524924484715957
CTNNB1_hotspot_mutation_count,5.5232304035002615
PBRM1_hotspot_mutation_count,5.522549414220349
MAP2K1_hotspot_mutation_count,5.5218940583012
CTCF_hotspot_mutation_count,5.519389946525836
CARD11_hotspot_mutation_count,5.5192667232487125
RPL5_hotspot_mutation_count,5.51918918970042
TSC2_hotspot_mutation_count,5.51895572980157
SETD2_hotspot_mutation_count,5.518882727513807
STAG2_hotspot_mutation_count,5.517808081433528
PPM1D_hotspot_mutation_count,5.517048286159122
ATRX_hotspot_mutation_count,5.516604586613095
ASXL1_hotspot_mutation_count,5.5158354388585575
CBLB_hotspot_mutation_count,5.515683026775494
MET_hotspot_mutation_count,5.5145680558355945
SPOP_hotspot_mutation_count,5.513933823105385
CREBBP_hotspot_mutation_count,5.513683732268235
IDH1_hotspot_mutation_count,5.513599819372769
DICER1_hotspot_mutation_count,5.513453274078369
FBXW7_hotspot_mutation_count,5.51342169896619
IL7R_hotspot_mutation_count,5.513232043641189
PLCG1_hotspot_mutation_count,5.512613078971077
CIC_hotspot_mutation_count,5.5125389079653
BAP1_hotspot_mutation_count,5.51131821998333
EGFR_hotspot_mutation_count,5.511216062590498
LZTR1_hotspot_mutation_count,5.51063032999499
CASP8_hotspot_mutation_count,5.510595881442364
KEAP1_hotspot_mutation_count,5.510428143578891
BCOR_hotspot_mutation_count,5.509514616094127
APC_hotspot_mutation_count,5.509448214306008
MAP2K4_hotspot_mutation_count,5.509227682474074
PTPN11_hotspot_mutation_count,5.5086093912742875
PMS2_hotspot_mutation_count,5.508488948653644
BCORL1_hotspot_mutation_count,5.508374782804291
FGFR2_hotspot_mutation_count,5.508151304010853
RHOA_hotspot_mutation_count,5.507657474717767
MTOR_hotspot_mutation_count,5.507418912684999
TP53_hotspot_mutation_count,5.507399293996878
CUX1_hotspot_mutation_count,5.507347345812564
ERCC3_hotspot_mutation_count,5.507307264688426
PDGFRA_hotspot_mutation_count,5.507294178487843
EPAS1_hotspot_mutation_count,5.506878790088523
POLE_hotspot_mutation_count,5.506288953304948
PREX2_hotspot_mutation_count,5.506285208166714
ATP1A1_hotspot_mutation_count,5.506201167549924
EP300_hotspot_mutation_count,5.505965156676194
NT5C2_hotspot_mutation_count,5.5059482853119945
CDH1_hotspot_mutation_count,5.505152241374051
CSF3R_hotspot_mutation_count,5.504212536368534
NF1_hotspot_mutation_count,5.5038680390298795
TP63_hotspot_mutation_count,5.5037908581437724
CDK12_hotspot_mutation_count,5.503261928142677
RAC1_hotspot_mutation_count,5.503222944988381
SERF1B,5.5028916036671625
LAYN,5.502890263393007
TRIM73,5.5028877504283
PDZK1IP1,5.5028869197450865
SFRP4,5.5028867216439075
S100A4,5.502886290188496
C4B_2,5.502885849130563
CCL21,5.502880576824317
C8orf88,5.50287926062222
PAOX,5.502878511363065
PAK6,5.502877783545134
RNF2,5.502877672787372
LCE1C,5.502877162144105
SCN9A,5.502876990219642
PFN4,5.502876863150758
FAM86C1,5.50287662269329
OR3A3,5.502876338695654
CXCL6,5.502875815687507
DLX3,5.502875387915249
MPLKIP,5.502875007234769
OR10A6,5.502874519479685
NOXA1,5.502874232982766
WDR83,5.502873994498417
ZNF678,5.502873747858507
PTPN7,5.502873427555479
GYPE,5.502873298250395
HS3ST3A1,5.502872883500725
ARL5C,5.502872824438688
GPAM,5.5028727201264465
LCE1E,5.5028722094831775
C2orf54,5.502872161207529
B4GALNT4,5.502871900229617
GREM1,5.502871844061491
HIGD1B,5.502871799074371
PSG6,5.502871681476458
OR2A4,5.5028711725432276
S100A3,5.502870978388294
ATP5J,5.502870956289356
CPS1,5.502870873418346
PYDC1,5.502870840796109
IL10RA,5.502870821591078
LOC100129924,5.502870788048052
LRRC3B,5.502870640458733
SEMA7A,5.5028704922117
IL24,5.502870463667245
LST1,5.502870402763633
PLPPR3,5.502870274642418
LRGUK,5.502870269775391
VHLL,5.502870267802269
ALPK3,5.502870177038783
PON3,5.50287016651548
ZNF300,5.502870086275297
USP17L2,5.502870066281023
NQO2,5.502869983146931
STYXL1,5.502869968677386
TMSB15B,5.502869862918195
ELFN1,5.502869558794745
C1QTNF1,5.502869488288618
WNK2,5.502869476186819
CCT8,5.5028694131785425
ALDH4A1,5.502869322678138
RNASE8,5.502869113395958
RAB23,5.50286908011601
COA6,5.502869073670485
CCDC167,5.502869068145751
KCNE1,5.502868804800099
NME7,5.5028687373194165
NDUFAB1,5.502868626693197
NAALADL1,5.50286851238382
ROM1,5.5028684612142635
PTGDR,5.502868407676959
GRB14,5.502868349535712
PRRT4,5.502868328226024
AANAT,5.5028682765302985
RGS7BP,5.502868237594075
MINPP1,5.502868188792262
PCDHAC2,5.502868142884353
OR2AG1,5.502868129730225
RDM1,5.502868091977879
ISOC2,5.5028680536993635
TMEM26,5.502868048700794
CSN2,5.502868032784295
RUFY4,5.502867912555563
GPHA2,5.502867893745159
BCAT1,5.502867868094609
SCT,5.502867822581323
AMDHD1,5.502867816661965
CD40LG,5.502867815478094
OR52W1,5.502867763256204
OR6B3,5.502867761677708
ULBP2,5.502867686436094
LYVE1,5.502867638028898
PHLDA1,5.502867613430681
DLX2,5.502867603433541
ARL6,5.502867475180792
C1orf101,5.502867341534843
LGALS4,5.502867340350973
SLFNL1,5.502867330090753
C6orf52,5.5028672953638536
C22orf34,5.502867294837689
PRR25,5.502867259453084
ASAH1,5.502867234460236
NKX6-1,5.502867196970971
TPK1,5.502867184079927
PRCD,5.502867104102823
RNF150,5.502867054248675
EDDM3B,5.502866994792016
RGS19,5.502866989530366
KRTAP4-8,5.50286692454897
