feature,avg_mae
PTPRT_hotspot_mutation_count,3.842531421
ERBB4_hotspot_mutation_count,3.808984124
PPP2R1A_hotspot_mutation_count,3.716563869
POLE_hotspot_mutation_count,3.703888733
TSC2_hotspot_mutation_count,3.700267297
ERBB2_hotspot_mutation_count,3.696692647
MAP2K4_hotspot_mutation_count,3.69517001
FAT1_hotspot_mutation_count,3.694949159
FCER1G,3.693824621
NFKBIE,3.693712893
PLCG1_hotspot_mutation_count,3.69347351
RRAGC,3.692715689
ADGRV1,3.692370995
FAT2,3.692283112
PIK3R1_hotspot_mutation_count,3.691876612
SMAD4_hotspot_mutation_count,3.691433508
CASP8_hotspot_mutation_count,3.691073076
FAT4_hotspot_mutation_count,3.69001376
ERAP2,3.689986863
KLHDC1,3.689897291
ZASP,3.689450813
SLC18B1,3.689130879
SMLR1,3.688344275
KCNC3,3.688173923
XRCC4,3.688153631
KRTAP2-3,3.68769727
SLC16A9,3.687496701
PCSK1N,3.686757732
CD22,3.686458039
KIRREL3,3.685969144
PACSIN1,3.685662535
SLC6A17,3.685469542
CAP2,3.685330144
AIMP2,3.685292702
ZCCHC9,3.685163574
GALNT9,3.684925355
CFHR3,3.68479873
CCDC96,3.684729888
LOXL4,3.684624399
RNLS,3.684504928
NXPE1,3.68450116
OVCH2,3.684406762
CTH,3.684393547
SOD1,3.68432761
RMDN2,3.684301756
MPC1L,3.684177832
OR4F3,3.683992954
DHRS7,3.683992022
CATSPER3,3.683936108
ZC3H8,3.683887053
IDH1_hotspot_mutation_count,3.683839212
RPL3L,3.683829632
CRHR1,3.683818369
ZIC1,3.683778313
DUPD1,3.683766564
RABEPK,3.683749432
FA2H,3.683712164
H2AFZ,3.683651688
OSCAR,3.683480476
CHGA,3.683448865
RAMP3,3.683379008
DICER1_hotspot_mutation_count,3.683275863
SUCLA2,3.683249592
AGTR1,3.683201083
C8orf59,3.683096856
FAM231B,3.683087354
CKMT1B,3.683017139
ADRA2B,3.682965787
LIMS3L,3.682647951
NKG7,3.682647948
C7orf55-LUC7L2,3.682636694
NNMT,3.682573731
BTK,3.682454504
SCLY,3.682451085
CCDC39,3.682403151
LAMC2,3.682380908
FAM3D,3.682345412
KEAP1_hotspot_mutation_count,3.682337002
CA8,3.682334623
PTPN11_hotspot_mutation_count,3.682284622
SIM1,3.68214899
NDUFAF4,3.6820807
MICALL2,3.682076644
HSPA12B,3.682021923
UCP2,3.681997479
LCE6A,3.681942303
C5orf45,3.681939888
NANS,3.681937737
MED7,3.681917779
LIPE,3.681909635
ENOX1,3.681803572
FBXO5,3.681792989
C2orf27A,3.681697797
OR6B3,3.681653503
PINX1,3.681632511
PPM1N,3.681607928
DUSP11,3.681579095
CD72,3.681548294
CETP,3.681531964
HES1,3.681475359
MRPL36,3.681421388
CNIH4,3.681359263
WISP3,3.681336655
IL12A,3.681220646
OXSM,3.681218644
BMP6,3.68120672
LRRC20,3.681204497
KMT2C_hotspot_mutation_count,3.681191733
CELA3B,3.681187225
POU6F2,3.681186109
NUDT7,3.681185633
FBXO4,3.681177951
PRR25,3.681163021
TMEM252,3.681162361
CCDC36,3.681036431
LCE2B,3.681033647
SH3BGR,3.681026802
ST8SIA5,3.681009347
APOA4,3.680969955
DOK2,3.680949678
MGAM2,3.680891148
PODN,3.680833496
FAM206A,3.680829673
CNIH1,3.68082666
IGSF3,3.680825797
DOLPP1,3.680796044
PIP5K1B,3.680762639
H3F3A_hotspot_mutation_count,3.680751013
SSX2IP,3.680734395
MMP21,3.6807142
CIC_hotspot_mutation_count,3.680710253
RAB2A,3.680706134
EPSTI1,3.680651927
TFDP3,3.680633517
KLHL32,3.680584176
SCGN,3.680511956
ZP3,3.68046688
FAM64A,3.680462317
SYCE1L,3.68046021
MYBPC1,3.680430968
VWDE,3.680411335
PLS1,3.680403379
NPSR1,3.680337939
GOLGA6L3,3.680273482
LOC113230,3.680267863
SNX20,3.680213144
PTX3,3.680206054
ERCC6L,3.680191414
LYPD5,3.680186547
TSPAN7,3.680156341
RLN3,3.68015502
C14orf2,3.680146231
SYNE3,3.680133472
CDK15,3.680130259
PIK3CA,3.680126072
CCDC64,3.680111453
GRIK3,3.680106703
CREBBP_hotspot_mutation_count,3.680101748
KRT222,3.680068585
ZSCAN10,3.680067845
SLFN12,3.680056553
CH25H,3.6800269
TRAM1L1,3.680021103
FASN,3.680010357
SAPCD2,3.679994442
LEAP2,3.679990556
SF3B6,3.679980522
SLC3A1,3.679958858
TIAM2,3.679930179
LMNTD2,3.679873458
MFAP4,3.679847362
TCTE1,3.679846175
PTPN13_hotspot_mutation_count,3.679822477
BARHL1,3.679820007
PGR,3.679818681
