feature,avg_mae
CYTIP,2.520983341379312
MFGE8,2.0616950655172435
C7,1.9590474000000027
UCHL3,1.9331766241379327
GPAT2,1.9260293689655195
CA1,1.919739734482762
C8orf44-SGK3,1.8834118344827615
DNAH14,1.879557537931035
KLHL10,1.8713962206896566
EYA2,1.8482447586206927
ZNF879,1.8237017068965542
FAM86B2,1.8211546137931045
CDKN2C,1.8101021896551754
CLDN12,1.8061968620689675
PRR4,1.801931582758622
DUSP11,1.8016771241379335
OR2B11,1.7995755655172438
LGI4,1.7989333758620711
HMBS,1.7976752758620704
DUSP1,1.796447062068967
SLC6A13,1.796133141379312
DCX,1.795216317241382
LYSMD3,1.7951565000000016
ACPT,1.7923945172413818
TMEM186,1.788351493103451
PRM1,1.7882352413793117
DPH5,1.7871955862068993
SPHKAP,1.785969803448278
GPR84,1.7858934931034505
C6orf15,1.7852690379310372
ATP2C2,1.784827937931037
ZSCAN23,1.7847572448275872
CGRRF1,1.7839411137931058
APITD1,1.7830133000000021
TACR2,1.78300459310345
C8orf34,1.7829006758620707
MUC15,1.7808011724137964
TIMM17A,1.780768986206898
GPR37,1.780243441379313
NAT8B,1.7800771241379332
C1orf189,1.7798660482758641
CNFN,1.7796656068965533
ACKR2,1.7791399517241409
KCNMA1,1.7789765724137958
MRPS6,1.778850679310346
AVIL,1.7787952241379335
ZNF90,1.7782123931034501
KBTBD11,1.7782020517241395
VHLL,1.7781586241379324
ID3,1.7781536517241403
NR1I3,1.7778851931034507
PUDP,1.7777321862068993
TCTE3,1.7776515862068991
EID3,1.7768782172413822
PON3,1.7767666586206914
LY6G6D,1.7766658931034525
IGFL4,1.7765888655172435
STAP1,1.7764205103448303
NME1-NME2,1.7759898758620722
ICAM3,1.775765700000003
GSG2,1.7755355068965541
IGDCC4,1.7749992896551743
TRIM54,1.7749758793103474
GIPC2,1.7749588068965536
EBF3,1.774638920689657
RAB31,1.7746133655172442
RMDN2,1.7744483275862097
RNF223,1.7743304344827606
TNFRSF11B,1.7742460275862104
SLCO5A1,1.774185717241382
PAFAH1B3,1.7740767586206914
ETV1,1.7738199137931057
APITD1-CORT,1.7738021965517266
DLX1,1.7737799206896574
FCGR2A,1.7736033068965538
LNP1,1.773481644827589
AMY1A,1.773456193103451
CRACR2A,1.7732811655172436
FANCI,1.7732558137931067
ZNF17,1.773238537931037
CEPT1,1.7731675034482786
IGLON5,1.7731608827586234
C9orf40,1.7731308758620719
