feature,avg_mae
ZNF879,0.5199962986200642
CCL21,0.5154521538820535
SERF1B,0.5005684976728022
TBC1D3E,0.4877426218500268
ERBB4_hotspot_mutation_count,0.4790366412129755
DLGAP3,0.4778899242437469
COX6A2,0.47467489012069547
CLEC18B,0.47376066686643503
OR51B2,0.47327072037470963
PDZK1IP1,0.47231876586206556
PIWIL4,0.47144818516342624
OR3A3,0.4712720786738467
PPIC,0.4712568754668013
USP17L8,0.47107578953198953
DLX2,0.4685764587311519
GOLGA6L3,0.46548954981455326
LAMB3,0.465411557135992
KCNK15,0.4653337464760691
CYTIP,0.46455789222516947
C3orf14,0.464444537526379
EPHA3,0.4641702765981859
C3orf35,0.4641194348200275
CCL4L2,0.4641162252861621
IL10RA,0.4630276283105191
ATP6V0A4,0.46256357729080405
OR1Q1,0.4622959587939169
LOC100129924,0.4620546604419154
RIMBP2,0.4614975301473025
DUSP11,0.4613857028589803
XRCC4,0.46033961221504077
RPS6KA1,0.46016247071514194
WDR83,0.46007523716473125
RUFY4,0.4594087434069528
C8orf44-SGK3,0.4590537461351569
PTGDR,0.458946999958645
HLA-DRB5,0.45886577182575794
SMAD4_hotspot_mutation_count,0.4588401272203358
OXTR,0.4585886977248807
NCAM1,0.4584076157569099
NKG7,0.45837130284605165
MINPP1,0.4582312272242534
CRHR2,0.45770067052084656
FAT1_hotspot_mutation_count,0.45735771342930964
C1QTNF1,0.4572133087269197
DNMT3A_hotspot_mutation_count,0.45703377909705056
YWHAG,0.45687033261927984
UCHL3,0.45675061796794714
ELF5,0.45667671448263597
PRRT4,0.4566759634321734
POLR2K,0.456468370128618
FDXR,0.4563042453055994
GREM1,0.45626442465416484
CKMT1B,0.45620036318106905
C16orf91,0.4561030975046205
ARPC4-TTLL3,0.45594610504916827
PIK3CA_hotspot_mutation_count,0.4559377106204462
C11orf91,0.4559239916735007
XAGE1B,0.45581098024430766
NPC1L1,0.45576821046964766
AGBL1,0.45576758011225016
TBC1D3I,0.45576209898782644
HSFX1,0.45559408773272914
BCL2L12,0.45556028028015194
NPIPB3,0.45549222423080304
RNASE8,0.4553939003872538
KPTN,0.4553550124275503
TMEM217,0.45527665833499564
CPZ,0.4552746616589621
SPATA18,0.45526863643440285
ERBB2_hotspot_mutation_count,0.45522117803261414
EYA2,0.4551930993443731
LOC100130370,0.4549379315695481
CEPT1,0.45485614665347784
LOC400927-CSNK1E,0.4548281678753223
ETV3L,0.45482323400437513
GCH1,0.45477573971825563
ETV1,0.45471574519557534
TRIM54,0.45470104113062315
VHLL,0.4546520026701693
GNG5,0.45460808212956766
MEST,0.45455284836670956
ERGIC2,0.45454692823515835
SIX1,0.454503338977014
LOXL4,0.45448584958904364
PEX11A,0.4544406285307383
CHST13,0.45429027950701717
XCL1,0.4541949460252623
GRID2IP,0.4539725690367698
OR1L8,0.45387240930178846
SPHKAP,0.4537680563184484
AZGP1,0.45361177599585306
ATP6V0E1,0.45360311126122327
CREBBP_hotspot_mutation_count,0.4535936272786957
KCNJ12,0.45357799401089055
PRR4,0.45357418363729207
C1GALT1C1,0.45355360155522656
PRR7,0.45353281440478055
ANKRD45,0.4535300515022355
EFCAB7,0.4535250169805032
MGLL,0.453453695840685
GNAT2,0.45344139303033193
CRACR2B,0.4533952834757597
