feature,avg_mae
CYTIP,2.7157906818258355
C8orf44-SGK3,1.7543928658952381
UCHL3,1.6127859268925109
KLHL10,1.566344732986977
C7,1.5178049974901922
ZNF879,1.486010011380952
MFGE8,1.4599467597540494
TACR2,1.4527371637120734
SLC6A13,1.4497481972161652
ZDHHC11,1.404032882443132
GPAT2,1.3855918386209416
ACPT,1.382951763368803
DNAH14,1.381072793200262
ATP2C2,1.3716255885893724
CETN3,1.3671028377559264
CDKN2C,1.3582937802334494
TCTE3,1.3486834355689736
DUSP11,1.3469286412627122
EFCAB6,1.3466624955328579
FOXP3,1.3454361141020679
CA1,1.344495211707806
CSTA,1.3419979959422144
FAM86B2,1.3340446411553741
DACT3,1.3328514002306704
KPTN,1.3294753279008538
EBF3,1.3272757845964105
C9orf85,1.3257675579255201
PRM1,1.3235494141309008
PROK2,1.3180599749545387
RIMBP3B,1.316755536556901
GPR182,1.316277054474929
LGI4,1.3155485273216507
LILRB1,1.3137595890702871
KCNA3,1.3125613474405224
GALR1,1.3123753077434674
APITD1,1.3115886279770417
EBF4,1.3094568738529602
DUSP1,1.3085615943961306
SPTBN5,1.3077693272820832
GLYAT,1.3053603814592034
ZSCAN23,1.3047348782769561
LYSMD3,1.304298070889177
TUSC2,1.303571369681522
COMP,1.3034362071859424
FAM177B,1.3011523085916457
COX6A2,1.3000144143939836
FDXR,1.2992052133599643
C8orf76,1.2980352961678334
C9orf40,1.2976208923866008
GIPC2,1.2971820708807582
TADA2A,1.2969201403808586
HSPA1L,1.2964242856045431
ITGA7,1.2936433105468748
NR1I3,1.2934566283285207
FAM171B,1.2933418027522643
NPIPB15,1.2932691278602337
TNFRSF8,1.2932026239434598
FCRL1,1.292132863438047
ASS1,1.2919709717323034
GPR84,1.291715448308484
Age,1.2905747271360195
ABCB1,1.2901330273069183
NCF1,1.2898684036991512
SFTPB,1.2897157341056031
C1orf189,1.2896073175364526
EBI3,1.2894082725209202
UQCR11,1.2879950804401261
PTGER3,1.2876937838587261
TMEM107,1.287097430851377
