feature,avg_mae
X3_7384116,0.017391111
X7_90562042,0.01738534
X14_130349040,0.017383542
X16_17728503,0.017377776
X2_131132194,0.017375227
X1_259203266,0.017365072
X16_4527278,0.017364449
X13_108882948,0.017363185
X12_56068847,0.017359927
X12_53008047,0.017359677
X9_5615005,0.017355693
X12_8946301,0.017355604
X7_88367189,0.017355027
X15_127344457,0.017354172
X4_110176001,0.017351242
X4_112515667,0.017350534
X6_156836652,0.017346745
X14_5651597,0.017345615
X12_10094803,0.017345066
X9_14589972,0.017345031
X15_127356896,0.017344993
X16_73803660,0.017343962
X7_90380507,0.017343125
X8_15877735,0.017342743
X17_3816514,0.017342032
X2_5030718,0.017341722
X12_9627055,0.017340534
X18_11901053,0.017340525
X9_7955919,0.017340518
X5_86921863,0.01734045
X11_71156793,0.017339756
X5_3329179,0.017339694
X16_62287188,0.017339204
X17_16860695,0.01733888
X7_25565917,0.017338818
X9_914552,0.017338378
X13_202757293,0.017337899
X12_8992431,0.017337787
X5_79093904,0.017337313
X16_48320431,0.017337265
X1_217323891,0.017337183
X14_95636936,0.017336018
X4_23101516,0.01733543
X13_125141121,0.017335411
X1_5288773,0.017335268
X12_9545607,0.01733512
X9_570497,0.017335066
X16_4688198,0.017334642
X7_91850885,0.017334582
X2_116546880,0.017333809
X10_1753591,0.017333792
X7_97310693,0.017333341
X12_48901564,0.017333175
X14_2259318,0.017332914
X8_128394828,0.017332848
X7_89961595,0.017332669
X4_47218546,0.017332333
X14_118707682,0.017331459
X2_1318445,0.01733144
X14_9186987,0.017331428
X2_126415034,0.01733088
X14_5886162,0.017330763
X17_17075321,0.017330682
X2_127171890,0.017330669
X9_138248019,0.017330443
X7_90122140,0.017330306
X2_5157433,0.017330071
X13_102062751,0.01732989
X1_79474188,0.017329844
X5_67433894,0.017329835
X1_220592827,0.017329818
X14_30893126,0.017329635
X18_3285186,0.017329423
X7_84924972,0.0173294
X14_9803718,0.017329028
X9_12570240,0.017329003
X2_5615221,0.01732847
X16_73153511,0.017328412
X17_38675932,0.017328386
X1_234239835,0.017328333
X14_18997767,0.017328208
X10_3559653,0.017328109
X4_68405539,0.017327753
X4_113052359,0.0173277
X4_66858358,0.017327596
X13_11477077,0.017326893
X5_69323806,0.01732674
X1_27703116,0.017326366
X17_17503748,0.017326168
X6_110799765,0.017326147
X2_132946181,0.017326045
X2_1925850,0.017325934
X10_17689691,0.017325745
X5_69346414,0.017325741
X14_59913594,0.017325713
X14_7656087,0.017325497
X5_68375540,0.01732509
X16_48620873,0.017325003
X1_106589196,0.017324989
X1_220676184,0.017324907
X1_35248144,0.017324873
X17_38164600,0.017324765
X7_42708898,0.017324535
X16_13165499,0.017324433
X1_8119410,0.017324422
X15_104679891,0.017324266
X2_1999094,0.017324224
X17_16788523,0.017323975
X5_69173071,0.017323828
X10_48606985,0.017323826
X4_43372490,0.017323549
X8_108382797,0.017323495
X1_206817124,0.017323415
X1_254874862,0.017323195
X10_45576470,0.017323174
X16_45178452,0.017322872
X1_51555713,0.017322822
X4_101317661,0.017322499
X9_11272897,0.017322395
X15_112225927,0.017322313
X1_220967018,0.017322305
X3_129192303,0.017322135
X10_56673503,0.017322112
X9_13651836,0.01732207
X6_701029,0.017321985
X15_121990248,0.01732198
X16_47061035,0.017321955
X13_189877791,0.017321749
X17_16634316,0.017321666
X1_13274747,0.017321501
X1_229487778,0.017321414
X8_136153039,0.017321374
X1_107100243,0.017321365
X9_13459464,0.017321192
X14_58204009,0.017321124
X5_68563062,0.017320881
X17_17044687,0.017320684
X7_112472492,0.017320644
X14_5507799,0.017320592
X13_1021937,0.01732059
X13_95457555,0.017320553
X3_118204243,0.017320443
X1_52039046,0.017320363
X18_3669384,0.017320233
X16_50100519,0.017320191
X16_49944430,0.017320187
X10_2067402,0.017320181
X18_3246638,0.017319943
X5_69216026,0.017319913
X1_258508854,0.017319878
X17_16919581,0.017319763
X9_1080505,0.017319446
X10_16823088,0.017319436
X12_8792731,0.017319423
X16_39210502,0.01731926
X2_3435984,0.017319198
X1_16676665,0.017319116
X1_106917692,0.017319114
X11_4905569,0.017319041
X5_69416174,0.017319033
X7_2319523,0.017319007
X13_69618284,0.017318994
X15_17671133,0.017318923
X1_5443291,0.01731892
X13_195719326,0.017318885
X15_79633516,0.017318872
X1_254207127,0.017318789
X14_115136883,0.017318755
X2_143434856,0.017318739
X5_69367427,0.017318737
X5_49150391,0.017318719
X7_89857455,0.017318664
X9_13122997,0.017318503
X7_107510798,0.017318429
X16_64616350,0.017318229
X5_70014272,0.017318134
X3_132075482,0.017317934
X17_17194880,0.017317903
X1_220945730,0.017317822
X9_134511532,0.017317809
X14_4604082,0.017317791
X7_84947739,0.017317743
X1_234093474,0.01731773
X11_34924123,0.017317608
X14_120113274,0.01731755
X12_42419728,0.017317544
X13_93760372,0.017317495
X1_190103417,0.017317486
X2_2036202,0.017317404
X6_151212088,0.017317389
X9_1189700,0.017317347
X14_9612739,0.01731733
X1_258564948,0.017317279
X9_13993343,0.017317227
X14_84652377,0.017317202
X12_1893069,0.017317173
X4_109171727,0.017317116
X16_70338786,0.01731709
X2_2149307,0.017317062
X4_97497138,0.017316966
X1_106952113,0.017316952
X2_85151135,0.017316886
X10_11608411,0.017316815
X1_106683184,0.017316733
X12_30715476,0.017316713
X1_107648803,0.017316682
X1_75336902,0.01731658
X1_186959522,0.017316549
X9_125932129,0.017316503
X1_179032943,0.017316459
X16_12533440,0.0173164
X8_106369969,0.017316251
X1_36657204,0.017316153
X15_127285037,0.017316108
X18_3613926,0.017316105
X1_258555342,0.017316015
X14_119254772,0.017315934
X8_11985854,0.017315781
X7_119487210,0.017315644
X2_117436161,0.017315576
X3_15406876,0.017315566
X14_42318480,0.017315513
X7_108019039,0.017315443
X2_127454041,0.017315385
X12_26216813,0.017315309
X9_8230158,0.017315258
X11_68158920,0.01731525
X8_33874264,0.017315115
X13_8690551,0.017315068
X9_10916935,0.017315026
X6_148883803,0.017315007
X2_22857646,0.017314945
X1_265655816,0.017314925
X2_86998119,0.017314913
X1_220910614,0.017314538
X6_149403130,0.017314511
X4_86507498,0.017314502
X9_7774766,0.017314426
X15_80718013,0.017314285
X16_52720223,0.017314251
X16_74469262,0.017314167
X6_113705729,0.017314126
X1_17604157,0.01731401
X1_13163823,0.017313852
X2_116526410,0.017313718
X13_144033476,0.017313696
X18_5004207,0.017313692
X4_7319711,0.017313586
X16_47290838,0.017313557
X13_8582380,0.017313542
X7_38652404,0.017313537
X9_138276098,0.017313507
X7_107112533,0.017313482
X8_32911523,0.017313379
X1_190959024,0.017313346
X13_173094228,0.017313306
X8_115409757,0.01731329
X5_68466567,0.01731305
X5_68820398,0.017313024
X16_40823765,0.017312988
X1_27286229,0.017312939
X12_27687746,0.017312719
X5_68221903,0.017312562
X1_106763495,0.017312533
X1_6435092,0.017312489
X16_29451167,0.017312459
X1_6038840,0.017312364
X1_5405268,0.017312322
X6_158615228,0.017312281
X17_38080660,0.017312224
X12_178275,0.01731217
X3_107114532,0.017312063
X4_97301939,0.01731205
X3_100128064,0.017312018
X12_11433811,0.017311976
X16_73342881,0.017311939
X14_4681750,0.017311823
X9_109495302,0.017311817
X4_55552183,0.017311814
X7_69955893,0.017311777
X1_14256641,0.017311652
X7_63495356,0.017311649
X16_47263761,0.017311634
X1_187174070,0.017311619
X6_122678057,0.017311565
X1_161540913,0.017311539
X8_30934079,0.017311392
X13_8749843,0.017311367
X7_2349086,0.017311338
X6_1740547,0.017311307
X2_30527742,0.017311155
X6_153959197,0.017311154
X3_129009157,0.017311148
X13_201881431,0.01731109
X1_187852669,0.017311032
X9_19036585,0.017310783
X1_196655180,0.017310714
X6_7733588,0.017310706
X7_111911271,0.017310602
X2_118715094,0.017310499
X3_96593633,0.01731044
X1_71291808,0.017310421
X1_77673521,0.017310321
X15_85399538,0.017310321
X1_186618676,0.017310318
X2_141844977,0.017310303
X6_126289533,0.0173103
X2_126112093,0.017310297
X14_130774860,0.017310265
X3_15097898,0.017310263
X1_254176606,0.017310192
X15_68583247,0.017310164
X16_73515667,0.017310102
X8_32779044,0.017310078
X10_65913514,0.017310068
X1_220877865,0.017310035
X9_5674636,0.017310001
X13_170534442,0.017309954
X1_161681929,0.017309943
X16_21862437,0.017309832
X6_150797426,0.017309704
X14_95978860,0.017309635
X1_163173612,0.017309569
X7_107078821,0.017309533
X3_129235714,0.017309421
X16_11351231,0.017309418
X6_129401666,0.017309392
X1_12612551,0.017309364
X9_34764694,0.01730936
X1_79165908,0.017309353
X9_138519803,0.017309348
X2_128463417,0.017309321
X9_112118231,0.017309282
X1_183097503,0.017309281
X16_72889488,0.017309205
X11_37063809,0.017309184
X7_90828174,0.017309149
X7_107716425,0.01730907
X4_118175574,0.01730904
X7_85525717,0.017308956
X13_193232418,0.01730888
X13_150541235,0.017308875
X7_88500135,0.017308779
X18_8245730,0.017308768
X7_4435696,0.017308736
X11_78419171,0.017308718
X7_24376167,0.017308686
X10_11819309,0.017308677
X7_107059627,0.017308643
X3_128849428,0.017308619
X1_110761443,0.017308596
X7_84975916,0.017308584
X7_30393938,0.01730855
X6_155880126,0.017308534
X1_67860459,0.017308515
X5_97989332,0.017308512
X10_49216416,0.017308465
X1_180291105,0.017308442
X9_5329068,0.017308382
X1_17410567,0.017308343
X13_192751334,0.017308324
X11_24858119,0.017308307
X4_77888736,0.017308286
X2_91831659,0.017308279
X1_6340596,0.01730826
X5_12787961,0.017308249
X12_31959301,0.017308231
X13_197495827,0.017308225
X14_130063671,0.017308225
X1_178835533,0.017308163
X6_152175578,0.017308138
X5_68997896,0.017308094
X1_106638228,0.017308007
X13_192790398,0.017307997
X9_5726847,0.017307896
X1_209520240,0.017307884
X1_185532805,0.017307846
X12_4910073,0.017307829
X7_107644306,0.017307809
X15_117912383,0.017307713
X14_120922990,0.017307712
X7_107951062,0.017307702
X3_129634248,0.017307687
X1_27596606,0.017307614
X14_123994841,0.017307521
X2_116710623,0.017307506
X17_54283517,0.017307476
X2_127512036,0.017307476
